x,Curve1,Curve2,Curve3,Curve4,Curve5,Curve6,Curve7,Curve8,Curve9,Curve10,Curve11,Curve12,Curve13,Curve14
-0.01502,1297.94,2291.4,3283.22,4460.78,5639.9,6971.83,8276.64,9604.67,10998.81,12163.13,13239.83,14362.26,15369.93,15351.18
-0.01359,1297.53,2290.3,3281.46,4458.05,5636.24,6967.03,8270.67,9597.56,10990.43,12153.84,13229.75,14351.34,15358.23,15340.24
-0.01333,1297.45,2290.1,3281.13,4457.55,5635.55,6966.13,8269.56,9596.23,10988.87,12152.1,13227.87,14349.3,15356.04,15338.2
-0.01167,1296.98,2288.83,3279.09,4454.4,5631.31,6960.57,8262.65,9588,10979.17,12141.36,13216.21,14336.66,15342.5,15325.54
-0.00687,1295.61,2285.15,3273.16,4445.23,5618.99,6944.41,8242.55,9564.05,10950.95,12110.08,13182.27,14299.9,15303.1,15288.72
-0.00042,1293.76,2280.21,3265.21,4432.93,5602.44,6922.71,8215.56,9531.91,10913.08,12068.11,13136.73,14250.55,15250.22,15239.29
0.0553,1277.83,2237.5,3196.46,4326.62,5459.43,6735.23,7982.4,9254.17,10585.78,11705.4,12743.14,13824.14,14793.25,14812.17
0.31159,1204.54,2041.09,2880.26,3837.66,4801.72,5872.93,6910.01,7976.75,9080.46,10037.19,10932.92,11862.94,12691.5,12847.7
0.4975,1151.37,1898.62,2650.89,3482.98,4324.61,5247.41,6132.09,7050.11,7988.49,8827.07,9619.79,10440.29,11166.89,11422.67
0.62817,1114,1798.48,2489.68,3233.68,3989.27,4807.76,5585.33,6398.81,7220.99,7976.52,8696.84,9440.36,10095.3,10421.07
0.72866,1085.27,1721.47,2365.7,3041.97,3731.39,4469.66,5164.86,5897.95,6630.78,7322.44,7987.08,8671.4,9271.23,9650.83
0.81913,1059.4,1652.14,2254.09,2869.38,3499.23,4165.29,4786.33,5447.05,6099.43,6733.6,7348.12,7979.15,8529.37,8957.42
0.88443,1040.72,1602.09,2173.52,2744.79,3331.64,3945.57,4513.07,5121.55,5715.86,6308.52,6886.86,7479.41,7993.82,8456.85
0.94473,1023.48,1555.88,2099.12,2629.75,3176.89,3742.68,4260.76,4821,5361.68,5916.02,6460.95,7017.98,7499.31,7994.65
0.98613,1011.64,1524.15,2048.05,2550.77,3070.65,3603.39,4087.53,4614.65,5118.52,5646.55,6168.53,6701.18,7159.81,7677.32
0.99265,1009.77,1519.16,2040.01,2538.34,3053.93,3581.47,4060.27,4582.18,5080.26,5604.14,6122.52,6651.33,7106.39,7627.39
0.9934,1009.56,1518.58,2039.08,2536.91,3052,3578.95,4057.13,4578.43,5075.85,5599.25,6117.22,6645.58,7100.23,7621.63
0.99415,1009.34,1518,2038.15,2535.46,3050.06,3576.4,4053.96,4574.66,5071.39,5594.32,6111.86,6639.78,7094.01,7615.82
0.99487,1009.14,1517.45,2037.26,2534.09,3048.21,3573.98,4050.95,4571.08,5067.18,5589.64,6106.79,6634.28,7088.12,7610.31
0.99496,1009.11,1517.38,2037.15,2533.92,3047.99,3573.68,4050.58,4570.63,5066.65,5589.07,6106.16,6633.6,7087.39,7609.63
0.99554,1008.95,1516.94,2036.44,2532.81,3046.5,3571.73,4048.15,4567.74,5063.25,5585.29,6102.06,6629.16,7082.63,7605.18
0.99562,1008.92,1516.88,2036.34,2532.66,3046.29,3571.45,4047.81,4567.33,5062.76,5584.75,6101.48,6628.53,7081.96,7604.55
0.99696,1008.54,1515.85,2034.69,2530.11,3042.86,3566.96,4042.22,4560.68,5054.92,5576.07,6092.06,6618.32,7071.01,7594.32
0.99707,1008.51,1515.77,2034.56,2529.9,3042.58,3566.6,4041.77,4560.14,5054.29,5575.36,6091.29,6617.49,7070.12,7593.49
0.99781,1008.3,1515.2,2033.64,2528.49,3040.69,3564.11,4038.68,4556.46,5049.95,5570.56,6086.07,6611.84,7064.07,7587.83
0.99852,1008.09,1514.66,2032.77,2527.14,3038.86,3561.72,4035.7,4552.91,5045.77,5565.92,6081.05,6606.39,7058.23,7582.38
0.99926,1007.88,1514.09,2031.85,2525.72,3036.95,3559.21,4032.59,4549.2,5041.4,5561.08,6075.79,6600.69,7052.13,7576.67
1.00136,1007.28,1512.48,2029.26,2521.71,3031.56,3552.15,4023.8,4538.74,5029.07,5547.41,6060.96,6584.63,7034.91,7560.58
