x,Curve1,Curve2,Curve3,Curve4,Curve5,Curve6,Curve7,Curve8,Curve9,Curve10,Curve11,Curve12,Curve13,Curve14
5.0503,1452.24,2551.85,3644.5,4706.46,5720,6856.8,7972.42,8944.87,-38635.37,1421.47,9967.47,10916.81,11045.73,12508.57
5.0621,1451.75,2550.7,3642.81,4703.42,5716.74,6852.48,7967.61,8940.53,-38309.64,1466.06,9965.75,10913.93,11043.45,12505.28
5.0662,1451.57,2550.29,3642.22,4702.35,5715.59,6850.95,7965.92,8939,-38195.4,1481.7,9965.15,10912.91,11042.64,12504.12
5.0825,1450.88,2548.71,3639.9,4698.16,5711.1,6845,7959.31,8933.03,-37750.94,1542.61,9962.79,10908.95,11039.51,12499.59
5.0933,1450.43,2547.66,3638.35,4695.37,5708.1,6841.03,7954.9,8929.05,-37455.86,1583.08,9961.21,10906.3,11037.42,12496.58
5.1276,1448.98,2544.32,3633.45,4686.55,5698.62,6828.48,7940.94,8916.48,-36530.49,1710.18,9956.22,10897.94,11030.8,12487.03
5.147,1448.16,2542.43,3630.67,4681.55,5693.26,6821.37,7933.04,8909.37,-36011.77,1781.56,9953.4,10893.2,11027.05,12481.62
6.2984,1399.29,2430.39,3455.41,4382.8,5377.92,6407.87,7468.54,8501.23,-11693.68,5266.57,9781.68,10612.26,10803.81,12161.05
6.3196,1398.39,2428.33,3451.97,4377.24,5372.23,6400.53,7460.16,8493.99,-11356.45,5317.58,9778.45,10607.11,10799.69,12155.17
6.6116,1385.79,2399.91,3403.81,4300.82,5294.2,6300.05,7345.14,8394.68,-7052.92,5978.86,9733.45,10535.83,10742.75,12073.85
7.2354,1358.38,2339.19,3298.63,4148.85,5131.98,6094.87,7106.64,8187.14,61.54,7130.22,9635.22,10383.57,10620.67,11900.18
7.6385,1340.12,2299.94,3230.75,4063.92,5030.91,5971.33,6959.92,8055.28,3328.86,7700.18,9570.03,10285.14,10541.42,11787.93
7.8227,1331.6,2282.01,3200.04,4029.17,4985.66,5917.93,6895.59,7995.34,4515.09,7918.54,9539.77,10240.18,10505.12,11736.66
7.8497,1330.35,2279.39,3195.56,4024.29,4979.08,5910.28,6886.32,7986.57,4673.9,7948.43,9535.31,10233.59,10499.79,11729.15
7.8932,1328.33,2275.15,3188.35,4016.55,4968.48,5898.05,6871.5,7972.42,4922.03,7995.47,9528.11,10222.97,10491.21,11717.04
8.0092,1322.93,2263.85,3169.21,3996.55,4940.35,5865.99,6832.57,7934.69,5537.66,8114.31,9508.81,10194.65,10468.3,11684.74
9.4229,1264.17,2126.07,2949.65,3781.18,4607.07,5499.65,6426.36,7465.89,8509.06,8720.57,9261.89,9849.31,10186.81,11291.13
9.4611,1262.85,2122.34,2944.19,3775.19,4598.19,5489.51,6416.52,7452.81,8493.18,8709.76,9254.87,9839.97,10179.14,11280.49
9.4747,1262.38,2121.01,2942.25,3773.04,4595.02,5485.88,6413.01,7448.13,8487.44,8705.92,9252.36,9836.63,10176.4,11276.69
9.5375,1260.25,2114.88,2933.36,3763.08,4580.43,5469.13,6396.87,7426.57,8460.65,8688.42,9240.79,9821.29,10163.79,11259.21
9.8977,1248.74,2079.78,2884.01,3702.81,4496.94,5372.05,6303.01,7301.38,8296.39,8591.37,9173.29,9733.24,10091.23,11158.92
9.8991,1248.7,2079.65,2883.82,3702.56,4496.61,5371.67,6302.64,7300.88,8295.72,8591,9173.02,9732.9,10090.95,11158.53
10.1123,1242.42,2059.01,2855.85,3663.83,4447.58,5314.54,6244.25,7225.61,8192.67,8535.35,9132.16,9680.79,10047.85,11099.18
10.2335,1239,2047.35,2840.33,3640.9,4419.91,5282.45,6209.46,7182.44,8132.9,8504.09,9108.61,9651.16,10023.29,11065.43
10.5364,1230.91,2018.62,2802.72,3581.51,4351.62,5204.17,6118.44,7073.52,7981.62,8426.88,9048.67,9577.09,9961.74,10981.09
11.803,1201.51,1914.4,2662.2,3341.77,4091.95,4920.54,5755.65,6598.16,7393.65,8111.71,8779.03,9267.16,9701.25,10628.44
11.827,1201,1912.82,2659.78,3338.18,4087.7,4915.96,5749.89,6588.37,7384.67,8105.81,8773.6,9261.29,9696.27,10621.77
11.8495,1200.53,1911.36,2657.52,3334.87,4083.74,4911.68,5744.53,6579.07,7376.36,8100.26,8768.48,9255.77,9691.58,10615.49
11.8698,1200.1,1910.05,2655.49,3331.94,4080.2,4907.85,5739.73,6570.59,7369,8095.26,8763.85,9250.8,9687.36,10609.84
11.8919,1199.63,1908.64,2653.3,3328.82,4076.38,4903.71,5734.56,6561.26,7361.13,8089.83,8758.81,9245.4,9682.76,10603.7
12.0152,1197.05,1901.02,2641.15,3312.55,4055.69,4881.01,5706.5,6508.32,7319.82,8059.48,8730.43,9215.2,9657.06,10569.36
12.0388,1196.55,1899.62,2638.85,3309.66,4051.87,4876.76,5701.29,6499.8,7312.44,8053.68,8724.97,9209.42,9652.14,10562.79
12.2587,1192.03,1887.28,2617.86,3286.06,4018.47,4838.22,5654.87,6457.29,7251.29,7999.61,8673.32,9155.55,9606.14,10501.56
12.3319,1190.54,1883.45,2611.05,3279.44,4008.26,4825.83,5640.18,6445,7233.7,7981.62,8655.86,9137.62,9590.78,10481.18
12.4039,1189.09,1879.82,2604.45,3273.45,3998.66,4813.84,5626.06,6432.7,7217.51,7963.93,8638.56,9119.99,9575.67,10461.15
13.1428,1174.56,1847.66,2544.54,3228.66,3920.73,4699.75,5494.2,6299.33,7076.17,7781.97,8453.18,8938.82,9419.11,10255.4
13.6969,1164.04,1827.06,2508.26,3196.98,3872.84,4622.08,5404.59,6195.55,6964.29,7644.49,8305.11,8802.84,9299.99,10101.15
14.0868,1156.77,1813.34,2485.09,3170.96,3835.85,4570.02,5343.28,6121.17,6879.55,7546.63,8196.88,8707.04,9215.14,9992.59
14.6651,1146.13,1793.56,2452.45,3128.71,3772.81,4495.23,5251.48,6008.83,6745.34,7398.36,8032.3,8564.75,9087.55,9831.57
14.6845,1145.78,1792.91,2451.38,3127.25,3770.59,4492.76,5248.34,6005.03,6740.66,7393.3,8026.75,8559.99,9083.24,9826.18
