x,RCR 2,RCR 5,RCR 6,RCR 8,RCR 10,RCR 12,RCR 14,RCR 15,RCR 16,RCR 18,RCR 20,RCR 23
79.9928,16.2049,16.8496,17.0943,17.4123,17.716,18.0432,18.4451,18.7534,19.0733,19.7548,20.6884,22.4493
79.996,16.205,16.8499,17.0946,17.4127,17.7165,18.0439,18.4459,18.7543,19.0743,19.756,20.6899,22.4512
80.0054,16.2054,16.8507,17.0955,17.4139,17.718,18.0457,18.4485,18.7572,19.0773,19.7596,20.6942,22.457
80.0069,16.2055,16.8508,17.0957,17.4141,17.7183,18.046,18.4489,18.7576,19.0778,19.7602,20.6949,22.4579
80.0253,16.2063,16.8524,17.0974,17.4164,17.7211,18.0496,18.4539,18.7632,19.0836,19.7672,20.7032,22.4689
80.0287,16.2064,16.8527,17.0978,17.4168,17.7217,18.0502,18.4549,18.7642,19.0847,19.7685,20.7048,22.471
80.0371,16.2067,16.8534,17.0986,17.4179,17.723,18.0519,18.4572,18.7668,19.0874,19.7717,20.7086,22.4761
80.0378,16.2068,16.8534,17.0987,17.4179,17.7231,18.052,18.4574,18.767,19.0876,19.772,20.7089,22.4765
80.043,16.207,16.8539,17.0992,17.4186,17.7239,18.053,18.4588,18.7686,19.0893,19.774,20.7113,22.4797
80.045,16.2071,16.854,17.0994,17.4188,17.7242,18.0534,18.4593,18.7692,19.0899,19.7747,20.7122,22.4809
80.065,16.2079,16.8557,17.1013,17.4213,17.7274,18.0573,18.4648,18.7752,19.0963,19.7823,20.7213,22.493
80.0845,16.2087,16.8573,17.1032,17.4238,17.7305,18.0611,18.4701,18.7811,19.1025,19.7898,20.7301,22.5048
84.766,16.4004,17.2492,17.5526,18.0094,18.4595,18.9655,19.7066,20.1839,20.5925,21.6013,22.8844,25.3802
84.8063,16.402,17.2526,17.5564,18.0144,18.4657,18.9732,19.717,20.1958,20.6053,21.6174,22.9035,25.4055
84.8081,16.4021,17.2527,17.5566,18.0146,18.466,18.9735,19.7174,20.1963,20.6059,21.6181,22.9043,25.4067
84.8538,16.4039,17.2565,17.5609,18.0203,18.473,18.9822,19.7292,20.2097,20.6205,21.6363,22.9259,25.4354
88.9944,16.5697,17.5952,17.9477,18.5345,19.0878,19.7493,20.7866,21.3945,21.9498,23.3676,24.9087,28.0618
89.7632,16.5999,17.6567,18.0178,18.6293,19.197,19.887,20.9812,21.6062,22.1997,23.7107,25.2635,28.5524
89.7707,16.6002,17.6573,18.0185,18.6302,19.1981,19.8883,20.9831,21.6082,22.2022,23.7142,25.267,28.5573
89.7992,16.6013,17.6596,18.0211,18.6337,19.2021,19.8934,20.9903,21.616,22.2115,23.727,25.28,28.5755
89.8023,16.6014,17.6598,18.0214,18.6341,19.2025,19.894,20.9911,21.6169,22.2125,23.7284,25.2814,28.5774
89.8114,16.6018,17.6605,18.0222,18.6352,19.2038,19.8956,20.9934,21.6194,22.2155,23.7326,25.2856,28.5833
89.8425,16.603,17.663,18.025,18.639,19.2082,19.9011,21.0012,21.6279,22.2256,23.7466,25.2998,28.6031
89.8578,16.6036,17.6642,18.0264,18.6409,19.2103,19.9038,21.0051,21.632,22.2306,23.7535,25.3068,28.6129
89.8937,16.605,17.6671,18.0297,18.6453,19.2153,19.9102,21.0142,21.6418,22.2423,23.7698,25.3231,28.6358
91.7017,16.675,17.8094,18.1918,18.8666,19.4643,20.2275,21.4688,22.1279,22.8385,24.6009,26.1709,29.7908
91.8277,16.6799,17.8192,18.203,18.882,19.4813,20.2493,21.5003,22.1613,22.8803,24.6591,26.4379,29.8713
92.0963,16.6902,17.84,18.2267,18.9146,19.5174,20.2958,21.5674,22.2323,22.9695,24.7828,26.5825,30.0429
94.9032,16.797,18.0519,18.4718,19.2516,19.8845,20.7743,22.2592,22.9599,23.8736,26.0181,27.902,31.8349
94.9087,16.7972,18.0523,18.4723,19.2523,19.8852,20.7752,22.2605,22.9613,23.8752,26.0204,27.9045,31.8384
94.9469,16.7987,18.0551,18.4756,19.2568,19.8901,20.7816,22.2698,22.9711,23.8868,26.0359,27.9218,31.8628
94.9791,16.7999,18.0575,18.4784,19.2606,19.8942,20.7871,22.2776,22.9793,23.8965,26.049,27.9364,31.8833
95.0608,16.803,18.0635,18.4854,19.2702,19.9046,20.8008,22.2973,23.0001,23.9211,26.082,27.9734,31.9355
97.6202,16.8998,18.2458,18.704,19.5661,20.2247,21.2277,22.8862,23.6428,24.6453,27.0004,29.1564,33.568
99.3586,16.9657,18.363,18.8506,19.7574,20.4365,21.5139,23.2267,24.0688,25.0936,27.5047,30.107,34.6765
99.7624,16.9811,18.3893,18.8845,19.8004,20.4851,21.5801,23.2991,24.1664,25.1927,27.6101,30.3025,34.934
99.8421,16.9841,18.3945,18.8912,19.8089,20.4947,21.5932,23.3134,24.1856,25.212,27.6304,30.3398,34.9848
99.8637,16.985,18.3959,18.893,19.8111,20.4973,21.5967,23.3172,24.1908,25.2172,27.6359,30.3498,34.9986
99.8791,16.9856,18.3969,18.8943,19.8128,20.4991,21.5992,23.32,24.1945,25.2209,27.6398,30.357,35.0084
99.8847,16.9858,18.3973,18.8948,19.8133,20.4998,21.6001,23.321,24.1958,25.2223,27.6412,30.3595,35.0119
99.9069,16.9866,18.3987,18.8966,19.8157,20.5025,21.6038,23.3249,24.2012,25.2276,27.6468,30.3698,35.0261
99.9426,16.988,18.401,18.8996,19.8194,20.5068,21.6096,23.3313,24.2098,25.2362,27.6558,30.3863,35.0489
99.9544,16.9884,18.4018,18.9006,19.8207,20.5082,21.6115,23.3334,24.2126,25.239,27.6588,30.3917,35.0564
99.9652,16.9888,18.4025,18.9015,19.8218,20.5095,21.6133,23.3353,24.2152,25.2416,27.6615,30.3967,35.0633
100.0052,16.9904,18.405,18.9049,19.826,20.5143,21.6199,23.3424,24.2248,25.2512,27.6715,30.415,35.0888
101.4609,17.0461,18.4968,19.0261,19.9745,20.6876,21.8569,23.6004,24.5679,25.5856,28.0144,31.0497,36.017
102.5943,17.0895,18.5657,19.1189,20.0842,20.8206,22.0382,23.7965,24.8204,25.8259,28.2561,31.5133,36.7398
103.8533,17.1377,18.6399,19.2195,20.1999,20.9658,22.2312,24.0067,25.0723,26.0734,28.5052,31.972,37.5429
104.7724,17.1727,18.6928,19.2911,20.2807,21.0698,22.3639,24.1533,25.2344,26.2427,28.6773,32.3365,38.1294
104.8424,17.1754,18.6968,19.2965,20.2868,21.0777,22.3738,24.1642,25.2462,26.2553,28.6902,32.3584,38.174
104.8929,17.1773,18.6997,19.3003,20.2911,21.0833,22.3808,24.172,25.2547,26.2643,28.6994,32.3735,38.2062
104.9119,17.178,18.7008,19.3018,20.2927,21.0855,22.3835,24.175,25.2579,26.2677,28.7029,32.3791,38.2184
104.9131,17.1781,18.7009,19.3019,20.2928,21.0856,22.3837,24.1751,25.2581,26.2679,28.7031,32.3794,38.2191
104.9139,17.1781,18.7009,19.3019,20.2929,21.0857,22.3838,24.1753,25.2582,26.268,28.7033,32.3796,38.2196
105.0182,17.1821,18.7068,19.3099,20.3019,21.0974,22.3983,24.1913,25.2756,26.2866,28.7223,32.4089,38.2862
106.8124,17.2497,18.8071,19.4433,20.4512,21.2941,22.6388,24.4539,25.5612,26.5908,29.0403,32.8215,39.4316
108.0794,17.2968,18.8764,19.5334,20.5521,21.4281,22.7973,24.6266,25.7498,26.791,29.2565,33.2128,40.241
109.9684,17.3653,18.9782,19.6619,20.697,21.6194,23.014,24.8723,26.0123,27.0712,29.5723,33.5451,41.4486
109.9722,17.3654,18.9784,19.6621,20.6973,21.6198,23.0144,24.8728,26.0128,27.0718,29.573,33.5456,41.4511
109.9896,17.366,18.9793,19.6633,20.6986,21.6215,23.0162,24.875,26.0151,27.0742,29.5758,33.5481,41.4622
109.9952,17.3662,18.9796,19.6637,20.699,21.622,23.0169,24.8757,26.0159,27.0751,29.5768,33.5489,41.4658
110.0048,17.3666,18.9802,19.6643,20.6997,21.623,23.0179,24.8769,26.0172,27.0764,29.5784,33.5503,41.4719
110.0073,17.3667,18.9803,19.6645,20.6999,21.6232,23.0182,24.8773,26.0175,27.0768,29.5788,33.5507,41.4735
110.011,17.3668,18.9805,19.6647,20.7002,21.6236,23.0185,24.8777,26.018,27.0773,29.5794,33.5512,41.4759
110.0186,17.3671,18.9809,19.6652,20.7008,21.6243,23.0194,24.8787,26.019,27.0784,29.5807,33.5523,41.4807
110.0189,17.3671,18.9809,19.6652,20.7008,21.6244,23.0194,24.8787,26.019,27.0784,29.5807,33.5523,41.4809
110.0625,17.3686,18.9832,19.6681,20.7041,21.6287,23.0241,24.8843,26.0248,27.0847,29.588,33.5586,41.5088
112.1637,17.442,19.0954,19.8039,20.8588,21.8278,23.234,25.1486,26.2845,27.3764,29.9341,33.8164,42.8537
113.9894,17.5039,19.1922,19.9171,20.989,21.9901,23.4027,25.3648,26.4833,27.6213,30.2194,33.965,44.0238
114.9853,17.5369,19.2448,19.9773,21.0586,22.0745,23.4954,25.4748,26.5825,27.7541,30.364,34.1011,44.6628
115.0043,17.5375,19.2458,19.9784,21.0599,22.0761,23.4972,25.4768,26.5843,27.7567,30.3667,34.104,44.675
115.0061,17.5376,19.2459,19.9785,21.0601,22.0762,23.4973,25.477,26.5845,27.7569,30.367,34.1043,44.6761
115.0097,17.5377,19.2461,19.9787,21.0603,22.0765,23.4977,25.4774,26.5848,27.7574,30.3675,34.1049,44.6784
115.0163,17.5379,19.2464,19.9791,21.0608,22.0771,23.4983,25.4781,26.5855,27.7583,30.3684,34.1059,44.6827
115.0166,17.5379,19.2464,19.9792,21.0608,22.0771,23.4983,25.4781,26.5855,27.7583,30.3684,34.1059,44.6829
115.5003,17.5539,19.2719,20.008,21.0943,22.117,23.545,25.5291,26.6316,27.823,30.4348,34.1803,44.9933
116.3188,17.5806,19.315,20.0561,21.1505,22.1831,23.6247,25.6123,26.7071,27.9302,30.5416,34.2774,45.5189
117.7037,17.6253,19.3877,20.1361,21.2441,22.2907,23.7519,25.7451,26.8282,28.0932,30.7076,34.4472,46.4091
118.7267,17.6581,19.4413,20.1939,21.3118,22.3667,23.8363,25.8374,26.9131,28.197,30.8199,34.4168,47.0672
119.953,17.6971,19.5055,20.2617,21.3911,22.454,23.9287,25.9417,27.0108,28.3079,30.945,34.5706,47.8568
119.9734,17.6977,19.5066,20.2629,21.3924,22.4554,23.9302,25.9434,27.0124,28.3097,30.947,34.5735,47.8699
119.9823,17.698,19.507,20.2634,21.3929,22.4561,23.9308,25.9441,27.0131,28.3104,30.9479,34.5748,47.8757
120.0034,17.6987,19.5082,20.2645,21.3943,22.4575,23.9324,25.9459,27.0147,28.3122,30.95,34.5778,47.8893
120.0047,17.6987,19.5082,20.2646,21.3944,22.4576,23.9325,25.946,27.0148,28.3124,30.9501,34.578,47.8901
120.0134,17.699,19.5087,20.2651,21.3949,22.4582,23.9331,25.9467,27.0155,28.3131,30.9509,34.5792,47.8957
120.0224,17.6993,19.5091,20.2655,21.3955,22.4588,23.9337,25.9474,27.0162,28.3139,30.9518,34.5805,47.9015
120.0544,17.7003,19.5108,20.2673,21.3975,22.4611,23.936,25.95,27.0187,28.3166,30.955,34.5851,47.9221
120.4737,17.7136,19.5327,20.2901,21.4241,22.4898,23.9658,25.9838,27.0511,28.3518,30.9956,34.6412,48.1923
121.9531,17.7603,19.61,20.3692,21.5155,22.5876,24.0663,26.0938,27.1629,28.4697,31.1336,34.7807,49.1463
123.0548,17.7947,19.6673,20.4265,21.5811,22.6569,24.1377,26.1682,27.2442,28.5527,31.2326,34.9566,49.8575
123.6923,17.8146,19.7004,20.4591,21.6181,22.6956,24.178,26.2097,27.2907,28.5992,31.2891,35.0264,50.2693
125.035,17.8559,19.7698,20.5263,21.6933,22.7746,24.2608,26.2956,27.3882,28.6944,31.4082,35.2361,51.1373
125.0902,17.8576,19.7726,20.529,21.6963,22.7777,24.2641,26.2991,27.3922,28.6982,31.4131,35.2486,51.173
125.1172,17.8584,19.774,20.5304,21.6977,22.7793,24.2658,26.3008,27.3942,28.7001,31.4156,35.2547,51.1905
125.119,17.8585,19.7741,20.5304,21.6978,22.7794,24.2659,26.3009,27.3943,28.7002,31.4157,35.2551,51.1917
125.1199,17.8585,19.7741,20.5305,21.6979,22.7795,24.2659,26.3009,27.3944,28.7002,31.4158,35.2553,51.1922
130.0317,18.0046,20.0227,20.7598,21.9437,23.0453,24.5449,26.6046,27.7475,29.0188,31.7764,36.5926,54.3755
130.0456,18.005,20.0233,20.7604,21.9443,23.046,24.5457,26.6054,27.7484,29.0196,31.7771,36.5966,54.3845
130.0458,18.005,20.0234,20.7604,21.9443,23.046,24.5457,26.6054,27.7485,29.0196,31.7772,36.5967,54.3847
