x,uncor-gnd-run-1,uncor-gnd-run-2,uncor-gnd-run-3,uncor-gnd-run-4,uncor-gnd-run-5,uncor-gnd-run-6,uncor-gnd-run-7,uncor-gnd-run-8,uncor-gnd-run-9,uncor-gnd-run-10,uncor-gnd-run-11,uncor-gnd-run-12,uncor-gnd-run-13,uncor-gnd-run-14,uncor-gnd-run-15,uncor-gnd-run-16
-2.05,0.9983,1.9625,2.9944,3.9906,4.9707,5.992,6.9826,7.9786,8.9812,10.0115,10.986,12.0149,12.994,13.9801,14.9802,16.011
-1.62,0.9984,1.9626,2.9946,3.9913,4.9714,5.993,6.9837,7.9799,8.9828,10.0135,10.9882,12.0175,12.9968,13.9833,14.9834,16.0144
-1.55,0.9984,1.9626,2.9946,3.9914,4.9715,5.9931,6.9839,7.9802,8.983,10.0139,10.9885,12.0179,12.9973,13.9838,14.984,16.015
-1.34,0.9985,1.9627,2.9947,3.9918,4.9719,5.9936,6.9844,7.9808,8.9838,10.0149,10.9896,12.0192,12.9987,13.9854,14.9856,16.0167
-1.06,0.9986,1.9628,2.9948,3.9923,4.9723,5.9942,6.9851,7.9817,8.9849,10.0162,10.9911,12.0209,13.0006,13.9875,14.9878,16.019
-0.99,0.9986,1.9628,2.9948,3.9925,4.9724,5.9944,6.9852,7.9819,8.9851,10.0165,10.9915,12.0213,13.0011,13.9881,14.9883,16.0196
0.28,0.999,1.9633,2.9952,3.9947,4.9745,5.9972,6.9884,7.986,8.9899,10.0225,10.9981,12.029,13.0095,13.9976,14.9981,16.03
0.42,0.999,1.9634,2.9952,3.995,4.9747,5.9975,6.9887,7.9864,8.9904,10.0231,10.9988,12.0299,13.0105,13.9986,14.9991,16.0312
0.49,0.9991,1.9634,2.9953,3.9951,4.9748,5.9976,6.9889,7.9866,8.9907,10.0235,10.9991,12.0303,13.011,13.9992,14.9997,16.0318
0.64,0.9991,1.9634,2.9953,3.9954,4.975,5.998,6.9892,7.9871,8.9913,10.0241,10.9999,12.0312,13.0119,14.0003,15.0008,16.0329
