x,uncorrected-gnd-roll-1,uncorrected-gnd-roll-2,uncorrected-gnd-roll-3,uncorrected-gnd-roll-4,uncorrected-gnd-roll-5,uncorrected-gnd-roll-6,uncorrected-gnd-roll-7,uncorrected-gnd-roll-8,uncorrected-gnd-roll-9,uncorrected-gnd-roll-10,uncorrected-gnd-roll-11,uncorrected-gnd-roll-12,uncorrected-gnd-roll-13,uncorrected-gnd-roll-14,uncorrected-gnd-roll-15,uncorrected-gnd-roll-16
-5.1829,1025.033,960.192,922.139,881.474,848.364,811.57,777.562,753.761,725.782,699.747,668.84,645.755,619.739,590.887,566.894,537.934
-5.122,1024.746,959.983,921.782,880.857,847.579,810.61,776.389,752.266,723.768,697.685,666.509,643.373,617.235,588.429,563.933,534.624
-5.0652,1024.478,959.789,921.45,880.283,846.849,809.717,775.298,750.875,721.894,695.765,664.339,641.16,614.908,586.146,561.184,531.547
-5.061,1024.458,959.775,921.425,880.24,846.794,809.65,775.216,750.771,721.754,695.622,664.178,640.995,614.734,585.976,560.979,531.318
-5.0268,1024.297,959.658,921.225,879.895,846.354,809.112,774.559,749.933,720.626,694.466,662.871,639.662,613.332,584.6,559.325,529.464
-5,1024.171,959.566,921.069,879.624,846.009,808.69,774.043,749.277,719.741,693.56,661.847,638.618,612.233,583.522,558.028,528.011
-4.2586,1020.678,957.019,916.708,872.119,836.429,796.992,759.71,731.052,695.44,668.441,633.544,609.201,580.68,551.744,520.635,486.024
-4.0665,1019.773,956.354,915.559,870.172,833.924,793.944,755.955,726.293,689.258,661.899,626.237,601.204,571.652,542.04,510.071,473.561
-3.9513,1019.23,955.953,914.864,869.003,832.414,792.111,753.69,723.423,685.586,657.961,621.86,596.287,565.9,535.659,503.56,465.655
-3.7805,1018.426,955.356,913.824,867.27,830.162,789.385,750.313,719.148,680.205,652.105,615.388,588.809,556.797,525.5,493.709,453.815
-3.7208,1018.144,955.147,913.457,866.664,829.371,788.429,749.125,717.645,678.344,650.051,613.129,586.136,553.476,521.804,490.212,449.825
-3.4519,1016.877,954.198,911.781,863.93,825.777,784.106,743.73,710.811,670.12,640.745,602.991,573.75,538.186,504.955,474.137,434.057
-3.2598,1015.973,953.513,910.556,861.975,823.173,780.994,739.82,705.842,664.443,634.028,595.793,564.6,527.758,493.592,462.313,424.249
-3.183,1015.611,953.237,910.058,861.192,822.121,779.744,738.241,703.827,662.231,631.321,592.926,560.878,523.927,489.385,457.518,420.451
-3.1098,1015.266,952.973,909.579,860.445,821.112,778.548,736.727,701.888,660.157,628.727,590.201,557.299,520.527,485.542,452.928,416.856
-3.1062,1015.249,952.96,909.556,860.408,821.063,778.489,736.653,701.793,660.057,628.6,590.068,557.124,520.368,485.358,452.704,416.68
-3.0488,1014.978,952.753,909.177,859.822,820.267,777.55,735.46,700.259,658.461,626.557,587.939,554.299,517.901,482.442,449.105,413.866
-2.9268,1014.404,952.309,908.363,858.577,818.563,775.545,732.905,696.948,655.161,622.182,583.427,548.243,513.074,476.437,441.495,407.856
-2.8373,1013.982,951.982,907.757,857.661,817.298,774.067,731.012,694.464,652.826,618.932,580.116,543.754,509.736,472.128,435.97,403.385
-2.8049,1013.829,951.863,907.535,857.33,816.837,773.53,730.322,693.551,651.999,617.744,578.916,542.12,508.544,470.578,433.986,401.747
-2.622,1012.967,951.187,906.264,855.456,814.2,770.48,726.387,688.254,647.489,610.917,572.107,532.824,501.667,461.804,422.834,392.233
-2.439,1012.106,950.503,904.952,853.579,811.495,767.378,722.372,682.678,643.172,603.803,565.148,523.4,493.88,452.718,411.461,381.848
-2.4148,1011.991,950.412,904.775,853.33,811.13,766.962,721.832,681.917,642.606,602.832,564.206,522.138,492.731,451.471,409.917,380.344
-2.378,1011.818,950.273,904.505,852.952,810.575,766.328,721.013,680.757,641.75,601.35,562.77,520.222,490.928,449.561,407.561,377.966
-2.3764,1011.81,950.267,904.493,852.935,810.549,766.299,720.975,680.703,641.71,601.281,562.703,520.133,490.842,449.472,407.452,377.852
-2.2611,1011.267,949.83,903.633,851.749,808.782,764.287,718.376,676.995,639.005,596.51,558.086,514.059,484.585,443.276,399.867,368.929
-2.1459,1010.724,949.389,902.753,850.562,806.975,762.234,715.733,673.215,636.215,591.547,553.252,507.875,477.333,436.746,391.936,355.294
-2.0691,1010.362,949.093,902.153,849.769,805.748,760.84,713.944,670.671,634.265,588.121,549.869,503.676,471.999,432.171,386.417,345.119
-2.0122,1010.095,948.873,901.703,849.182,804.828,759.793,712.606,668.785,632.753,585.521,547.259,500.524,467.825,428.651,382.212,338.877
-1.8293,1009.233,948.157,900.213,847.289,801.794,756.33,708.204,662.736,627.292,576.77,538.057,490.079,453.306,416.287,367.988,321.085
-1.7073,1008.658,947.675,899.18,846.022,799.707,753.932,705.179,658.747,622.916,570.603,531.02,482.811,442.895,406.654,357.888,309.319
-1.6465,1008.372,947.432,898.654,845.389,798.647,752.708,703.642,656.775,620.437,567.429,527.21,479.063,437.558,401.082,352.647,303.097
-1.6463,1008.371,947.431,898.652,845.387,798.644,752.704,703.637,656.77,620.429,567.42,527.199,479.052,437.542,401.065,352.632,303.078
-1.5854,1008.084,947.187,898.117,844.75,797.567,751.455,702.074,654.799,617.705,564.173,523.171,475.19,432.144,394.564,347.218,296.334
-1.5313,1007.829,946.969,897.636,844.184,796.601,750.329,700.668,653.052,615.073,561.241,519.427,471.667,427.38,387.808,342.265,289.856
-1.4929,1007.648,946.813,897.291,843.781,795.909,749.518,699.659,651.811,613.082,559.131,516.67,469.104,424.062,382.434,338.648,284.992
-1.3008,1006.743,946.028,895.523,841.756,792.367,745.325,694.458,645.566,601.776,548.248,501.75,455.428,408.111,356.567,318.947,259.63
-1.2624,1006.562,945.869,895.162,841.348,791.644,744.456,693.385,644.304,599.284,546.008,498.568,452.505,404.755,352.732,314.644,254.763
-1.1585,1006.073,945.437,894.172,840.24,789.663,742.058,690.423,640.862,592.253,539.855,489.745,444.267,395.217,343.963,302.467,242.118
-1.1472,1006.019,945.39,894.063,840.118,789.444,741.79,690.093,640.482,591.462,539.173,488.766,443.334,394.141,343.089,301.097,240.775
-1.0976,1005.785,945.182,893.583,839.586,788.485,740.613,688.64,638.818,587.972,536.178,484.492,439.203,389.406,339.401,295.074,235.014
-1.0703,1005.657,945.067,893.318,839.293,787.956,739.959,687.833,637.898,586.033,534.521,482.151,436.896,386.783,337.443,291.751,231.917
-0.8399,1004.571,944.085,891.033,836.782,783.4,734.197,680.696,629.922,569.385,520.133,463.356,416.653,364.275,321.663,264.291,207.85
-0.6707,1003.775,943.349,889.316,834.901,779.999,729.699,675.064,623.799,557.48,509.179,451.652,401.568,347.665,309.652,246.5,193.223
-0.6478,1003.667,943.249,889.081,834.643,779.536,729.072,674.271,622.948,555.918,507.668,450.215,399.542,345.417,307.889,244.367,191.379
-0.6094,1003.486,943.079,888.687,834.208,778.759,728.01,672.926,621.509,553.338,505.125,447.879,396.168,341.657,304.806,240.985,188.309
-0.5488,1003.2,942.811,888.063,833.518,777.531,726.311,670.759,619.205,549.367,501.078,444.364,390.908,335.741,299.498,236.077,183.403
-0.4878,1002.913,942.539,887.434,832.817,776.292,724.574,668.52,616.841,545.501,496.965,441.016,385.714,329.821,293.496,231.547,178.138
-0.4557,1002.762,942.396,887.102,832.446,775.639,723.649,667.318,615.579,543.516,494.786,439.321,383.03,326.725,290.034,229.27,175.099
-0.4268,1002.625,942.266,886.803,832.109,775.05,722.809,666.219,614.428,541.752,492.811,437.825,380.642,323.947,286.719,227.236,172.118
-0.3789,1002.4,942.05,886.307,831.548,774.071,721.403,664.365,612.494,538.878,489.516,435.395,376.754,319.377,280.824,223.749,166.65
-0.3659,1002.338,941.991,886.172,831.394,773.803,721.017,663.852,611.961,538.105,488.614,434.741,375.708,318.141,279.136,222.715,165.048
-0.3405,1002.219,941.876,885.909,831.094,773.283,720.265,662.848,610.918,536.615,486.856,433.481,373.692,315.755,275.781,220.408,161.812
-0.2637,1001.857,941.526,885.116,830.175,771.703,717.959,659.729,607.691,532.181,481.486,429.705,367.68,308.63,265.36,201.379,151.198
-0.2253,1001.676,941.35,884.72,829.709,770.91,716.791,658.127,606.037,530.004,478.775,427.83,364.714,305.126,260.356,194.615,145.796
-0.1829,1001.476,941.155,884.286,829.192,770.033,715.493,656.329,604.18,527.632,475.767,425.763,361.464,301.301,255.216,188.268,140.454
-0.122,1001.189,940.872,883.663,828.436,768.764,713.603,653.68,601.437,524.259,471.399,422.769,356.795,295.817,248.263,179.913,134.545
-0.11,1001.133,940.817,883.542,828.287,768.516,713.231,653.154,600.89,523.604,470.54,422.18,355.881,294.74,246.934,178.343,133.582
0,1000.615,940.302,882.437,826.884,766.207,709.757,648.174,595.67,517.628,462.531,416.639,347.35,284.348,234.405,164.421,122.071
0.0052,1000.59,940.277,882.385,826.817,766.097,709.591,647.933,595.414,517.347,462.148,416.37,346.939,283.821,233.772,163.78,121.368
0.0436,1000.409,940.096,882.007,826.314,765.285,708.36,646.138,593.502,515.283,459.316,414.368,343.88,279.793,228.855,159.085,115.873
0.061,1000.327,940.013,881.837,826.085,764.917,707.801,645.319,592.624,514.352,458.031,413.449,342.478,277.889,226.433,156.985,113.242
0.082,1000.228,939.913,881.633,825.805,764.47,707.121,644.318,591.545,513.225,456.467,412.32,340.756,275.517,223.235,154.456,109.95
0.2439,999.465,939.137,880.125,823.562,760.999,701.806,636.37,582.779,504.592,444.27,402.933,326.318,255.89,191.566,135.848,82.359
0.2741,999.323,938.991,879.86,823.123,760.345,700.798,634.841,581.051,502.982,441.96,400.983,323.247,252.098,187.604,132.597,76.926
0.3049,999.178,938.841,879.597,822.666,759.675,699.766,633.268,579.259,501.337,439.594,398.897,319.947,248.225,184.449,129.386,71.324
