x,uncorrected-gnd-roll-1,uncorrected-gnd-roll-2,uncorrected-gnd-roll-3,uncorrected-gnd-roll-4,uncorrected-gnd-roll-5,uncorrected-gnd-roll-6,uncorrected-gnd-roll-7,uncorrected-gnd-roll-8,uncorrected-gnd-roll-9,uncorrected-gnd-roll-10,uncorrected-gnd-roll-11,uncorrected-gnd-roll-12,uncorrected-gnd-roll-13,uncorrected-gnd-roll-14,uncorrected-gnd-roll-15,uncorrected-gnd-roll-16
-20.485,1.4547,2.849,4.1276,5.3545,6.5846,7.8311,9.0423,10.2493,11.4684,12.6764,13.8674,15.0558,16.2614,17.4931,18.7216,19.8997
-20.242,1.4479,2.8364,4.114,5.3383,6.5655,7.8102,9.0178,10.222,11.4392,12.6437,13.8337,15.0198,16.2226,17.4522,18.6771,19.855
-20.121,1.4444,2.8301,4.1072,5.3302,6.5559,7.7998,9.0056,10.2084,11.4246,12.6274,13.8169,15.0017,16.2032,17.4317,18.6548,19.8327
-20,1.441,2.8238,4.1004,5.3222,6.5464,7.7893,8.9933,10.1947,11.41,12.6111,13.8,14.9837,16.1838,17.4112,18.6325,19.8103
-19.879,1.4376,2.8176,4.0936,5.3141,6.5368,7.7788,8.9811,10.1811,11.3954,12.5948,13.7832,14.9657,16.1643,17.3907,18.6102,19.788
-16.485,1.342,2.6476,3.9038,5.0877,6.2693,7.486,8.6383,9.7992,10.9864,12.1385,13.3118,14.4609,15.6208,16.8168,17.9851,19.1597
-10.303,1.1634,2.3889,3.5601,4.6777,5.785,6.9526,8.0187,9.1073,10.2454,11.3185,12.456,13.5445,14.6345,15.7729,16.848,18.009
-10.061,1.1559,2.3797,3.5468,4.6617,5.7661,6.9317,7.9946,9.0803,10.2165,11.2868,12.4225,13.5087,14.596,15.732,16.8036,17.9639
-2.545,1.0646,2.1149,3.1375,4.1733,5.1904,6.2834,7.2604,8.2544,9.3313,10.3269,11.394,12.407,13.412,14.4681,15.4415,16.5662
-0.121,1.0587,2.0348,3.0086,4.0192,5.0095,6.0742,7.03,7.9934,9.0511,10.0272,11.0664,12.056,13.0354,14.0622,15.0108,16.1184
-1.42109e-14,1.0585,2.0309,3.0021,4.0115,5.0005,6.0638,7.0186,7.9804,9.0372,10.0123,11.0501,12.0385,13.0167,14.042,14.9894,16.096
0.121,1.0582,2.0269,2.9958,4.0039,4.9916,6.0533,7.0072,7.9675,9.0233,9.9975,11.0337,12.021,12.9979,14.0217,14.968,16.0737
0.242,1.058,2.0229,2.9894,3.9962,4.9826,6.0429,6.9958,7.9545,9.0094,9.9826,11.0174,12.0036,12.9792,14.0014,14.9467,16.0514
0.364,1.0578,2.019,2.983,3.9886,4.9737,6.0324,6.9844,7.9416,8.9955,9.9678,11.0011,11.9861,12.9605,13.9812,14.9253,16.0291
11.273,1.0416,1.675,2.4349,3.3291,4.2056,5.1051,5.9989,6.8193,7.7824,8.667,9.5677,10.4492,11.3166,12.1863,13.0651,14.0568
14.061,1.0384,1.5898,2.306,3.1713,4.0225,4.8778,5.7593,6.5483,7.4857,8.3413,9.2142,10.0695,10.9117,11.7431,12.6122,13.5681
19.273,1.0329,1.4331,2.081,2.8908,3.6956,4.4714,5.3244,6.0621,6.947,7.7336,8.571,9.3765,10.1743,10.9408,11.8048,12.6717
19.515,1.0326,1.4259,2.071,2.8782,3.6808,4.4532,5.3046,6.0402,6.9225,7.7049,8.5417,9.3449,10.1407,10.9044,11.7684,12.6305
19.879,1.0322,1.4151,2.0563,2.8595,3.6588,4.426,5.275,6.0074,6.8858,7.668,8.4978,9.2975,10.0903,10.8501,11.7139,12.5688
20,1.0321,1.4115,2.0514,2.8532,3.6515,4.4169,5.2651,5.9965,6.8736,7.6556,8.4833,9.2817,10.0736,10.832,11.6958,12.5482
20.121,1.032,1.4079,2.0465,2.847,3.6442,4.4079,5.2553,5.9856,6.8614,7.6432,8.4687,9.266,10.0568,10.814,11.6777,12.5277
20.242,1.0319,1.4043,2.0416,2.8408,3.6369,4.3989,5.2454,5.9748,6.8492,7.6308,8.4541,9.2502,10.0401,10.796,11.6596,12.5072
20.364,1.0318,1.4007,2.0367,2.8346,3.6296,4.3899,5.2356,5.9639,6.837,7.6183,8.4396,9.2345,10.0234,10.778,11.6414,12.4866
24.364,1.0278,1.2834,1.883,2.6364,3.3943,4.1022,4.916,5.6138,6.442,7.202,7.9671,8.7222,9.4797,10.1963,11.0439,11.8148
29.939,1.0226,1.1243,1.6864,2.376,3.079,3.724,4.4837,5.1466,5.9087,6.6167,7.329,8.026,8.7424,9.418,10.1999,10.8944
34.424,1.0185,1.0025,1.5385,2.1757,2.8324,3.4329,4.1439,4.7826,5.49,6.1447,6.8277,7.4762,8.1611,8.8107,9.5158,10.1677
39.879,1.0136,0.8798,1.3647,1.9378,2.5366,3.0868,3.7355,4.3471,4.987,5.5702,6.2255,6.8137,7.4615,8.0834,8.6817,9.3051
40,1.0135,0.8781,1.3608,1.9326,2.5301,3.0791,3.7264,4.3374,4.9759,5.5574,6.2122,6.799,7.446,8.0673,8.6631,9.2862
40.121,1.0134,0.8766,1.357,1.9273,2.5235,3.0715,3.7174,4.3278,4.9647,5.5446,6.1988,6.7843,7.4305,8.0512,8.6446,9.2672
40.242,1.0133,0.8753,1.3532,1.9221,2.517,3.0638,3.7083,4.3181,4.9536,5.5318,6.1855,6.7696,7.415,8.035,8.6261,9.2482
40.364,1.0132,0.9865,1.3493,1.9168,2.5104,3.0562,3.6993,4.3085,4.9424,5.5191,6.1722,6.7549,7.3995,8.0189,8.6075,9.2292
